gpu,dataset,algorithm,epochs,batch_size,raw_images,N,io_power_w,setup_power_w,recon_power_w
A100,R8000,dm,4,1000,8000,64,32.16,39.55,64.17857143
A100,R8000,dm,6,1000,8000,64,32.07333333,,67.70846154
A100,R8000,lsqml,1,1000,8000,64,34.04,,37.94
A100,R8000,lsqml,2,1000,8000,64,32.41714286,,41.268
A100,R8000,lsqml,4,1000,8000,64,32.69666667,,43.127
A100,R8000,lsqml,6,1000,8000,64,33.25285714,39.52,53.16083333
A100,R8000,pie,1,1000,8000,64,32.83333333,,34.77345972
A100,R8000,pie,2,1000,8000,64,32.02333333,,34.74400474
A100,R8000,pie,4,1000,8000,64,32.494,,34.72842167
A100,R8000,pie,6,1000,8000,64,32.85333333,,34.74661893
B200,R1000,ad_ptycho,1,1000,1000,64,153.54,176.07,187.4
B200,R1000,ad_ptycho,2,1000,1000,64,152.06,175.15,186.18
B200,R1000,ad_ptycho,4,1000,1000,64,150.8975,173.7,185.25
B200,R1000,ad_ptycho,6,1000,1000,64,151.845,173.8,185.29
B200,R1000,bh,1,1000,1000,64,152.365,175.95,186.84
B200,R1000,bh,2,1000,1000,64,152.1175,174.38,186.55
B200,R1000,bh,4,1000,1000,64,152.8875,176.11,187.97
B200,R1000,bh,6,1000,1000,64,151.36,174.02,184.94
B200,R1000,dm,1,1000,1000,64,152.8175,176.21,187.98
B200,R1000,dm,2,1000,1000,64,151.965,174.55,186.01
B200,R1000,dm,4,1000,1000,64,152.0175,174.57,185.97
B200,R1000,dm,6,1000,1000,64,152.41,174.81,186.08
B200,R1000,lsqml,1,1000,1000,64,152.92,175.65,
B200,R1000,lsqml,2,1000,1000,64,151.4175,173.39,184.21
B200,R1000,lsqml,4,1000,1000,64,152.825,175.24,186.71
B200,R1000,lsqml,6,1000,1000,64,152.7,175.82,193.295
B200,R1000,pie,1,1000,1000,64,150.6125,172.72,197.16409091
B200,R1000,pie,2,1000,1000,64,151.945,174.86,197.93880952
B200,R1000,pie,4,1000,1000,64,152.4725,175.7,198.42373494
B200,R1000,pie,6,1000,1000,64,152.02,174.84,198.73248
B200,R12000,ad_ptycho,1,1000,12000,64,153.49125,182.2,202.74666667
B200,R12000,ad_ptycho,2,1000,12000,64,151.22625,180.39,206.82
B200,R12000,ad_ptycho,4,1000,12000,64,149.2575,,212.04
B200,R12000,ad_ptycho,6,1000,12000,64,154.195,,220.84333333
B200,R12000,bh,1,1000,12000,64,149.7375,180.19,202.25333333
B200,R12000,bh,2,1000,12000,64,151.3975,180.69,205.9025
B200,R12000,bh,4,1000,12000,64,153.935,,214.125
B200,R12000,bh,6,1000,12000,64,153.32125,182.25,224.22454545
B200,R12000,dm,1,1000,12000,64,151.35375,180.53,201.34
B200,R12000,dm,2,1000,12000,64,152.5275,182.15,206.455
B200,R12000,dm,4,1000,12000,64,152.0175,,211.76777778
B200,R12000,dm,6,1000,12000,64,153.14375,181.69,219.87916667
B200,R12000,lsqml,1,1000,12000,64,153.0375,181.92,199.1
B200,R12000,lsqml,2,1000,12000,64,154.6625,,199.684
B200,R12000,lsqml,4,1000,12000,64,151.54,182.1,211.6475
B200,R12000,lsqml,6,1000,12000,64,151.74125,,215.735
B200,R12000,pie,1,1000,12000,64,149.845,180.63,200.11674797
B200,R12000,pie,2,1000,12000,64,149.7575,,200.18622093
B200,R12000,pie,4,1000,12000,64,151.51625,180.36,200.34632673
B200,R12000,pie,6,1000,12000,64,150.02625,,200.44061168
B200,R2000,ad_ptycho,1,1000,2000,64,156.06,,185.53
B200,R2000,ad_ptycho,2,1000,2000,64,156.572,,190.72
B200,R2000,ad_ptycho,4,1000,2000,64,152.0025,174.8,191.685
B200,R2000,ad_ptycho,6,1000,2000,64,152.105,174.47,193.07
B200,R2000,bh,1,1000,2000,64,155.968,,184.58
B200,R2000,bh,2,1000,2000,64,154.622,,190.13
B200,R2000,bh,4,1000,2000,64,153.095,175.52,194.01
B200,R2000,bh,6,1000,2000,64,155.126,,195.64
B200,R2000,dm,1,1000,2000,64,155.63,,184.37
B200,R2000,dm,2,1000,2000,64,152.125,175.29,185.89
B200,R2000,dm,4,1000,2000,64,155.4,,191.795
