gpu,dataset,algorithm,epochs,batch_size,raw_images,resolution_y,resolution_x,N,io_load_time_s,setup_time_s,task_setup_time_s,reconstruction_run_time_s,save_time_s,total_time_s,log_file,power_duration_s,power_avg_w,power_min_w,power_max_w,power_energy_j,power_samples,power_csv,input_pixels,io_stage_s,prep_stage_s,pre_recon_s,num_batches,warmup_epoch,flops_per_image_epoch,flops_per_image_epoch_gflops,total_recon_gflops,fit_reconstruction
A100,R12000,bh,1,1000,12000,64,64,64,0.928745,0.004716,0.097788,0.96834,0.0,2.000621,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/bh/e1_bs1000.log,1.83,38.78090909090909,31.5,66.87,70.58300000000001,11,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/bh/e1_bs1000_power.csv,49152000,0.928745,0.102504,1.031249,12,True,1146880.0,0.00114688,13.76256,False
A100,R12000,bh,2,1000,12000,64,64,64,1.157593,0.004741,0.104788,1.535327,0.0,2.803059,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/bh/e2_bs1000.log,2.43,42.09571428571428,31.5,63.4,102.78000000000002,14,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/bh/e2_bs1000_power.csv,49152000,1.157593,0.109529,1.2671220000000003,12,False,1146880.0,0.00114688,27.52512,True
A100,R12000,bh,4,1000,12000,64,64,64,0.926976,0.004662,0.084321,2.692207,0.0,3.708779,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/bh/e4_bs1000.log,3.43,45.264736842105265,31.5,77.17,155.928,19,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/bh/e4_bs1000_power.csv,49152000,0.926976,0.08898299999999999,1.015959,12,False,1146880.0,0.00114688,55.05024,True
A100,R12000,bh,6,1000,12000,64,64,64,0.912454,0.004696,0.084459,3.814397,0.0,4.816744,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/bh/e6_bs1000.log,4.63,47.6812,31.5,80.08,222.67200000000003,25,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/bh/e6_bs1000_power.csv,49152000,0.912454,0.08915500000000001,1.001609,12,False,1146880.0,0.00114688,82.57536,True
A100,R12000,dm,1,1000,12000,64,64,64,0.914772,0.019327,0.106262,0.982903,0.0,2.024232,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/dm/e1_bs1000.log,1.83,41.08,31.41,110.96,69.83000000000001,11,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/dm/e1_bs1000_power.csv,49152000,0.914772,0.125589,1.040361,12,True,1474560.0,0.00147456,17.69472,False
A100,R12000,dm,2,1000,12000,64,64,64,0.920634,0.019361,0.085853,1.511408,0.0,2.537886,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/dm/e2_bs1000.log,2.23,42.04846153846154,31.5,88.32,94.717,13,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/dm/e2_bs1000_power.csv,49152000,0.920634,0.105214,1.0258479999999999,12,False,1474560.0,0.00147456,35.38944,True
A100,R12000,dm,4,1000,12000,64,64,64,0.921957,0.019495,0.088755,2.707289,0.0,3.738147,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/dm/e4_bs1000.log,3.43,58.284210526315796,31.51,185.49,206.73000000000002,19,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/dm/e4_bs1000_power.csv,49152000,0.921957,0.10825,1.030207,12,False,1474560.0,0.00147456,70.77888,True
A100,R12000,dm,6,1000,12000,64,64,64,0.929726,0.019574,0.085116,3.887702,0.0,4.922727,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/dm/e6_bs1000.log,4.63,50.696000000000005,31.59,159.04,238.803,25,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/dm/e6_bs1000_power.csv,49152000,0.929726,0.10469,1.034416,12,False,1474560.0,0.00147456,106.16832,True
A100,R12000,lsqml,1,1000,12000,64,64,64,0.918034,0.004895,0.099789,0.851443,0.0,1.874778,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/lsqml/e1_bs1000.log,1.63,35.007999999999996,31.6,42.21,56.315,10,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/lsqml/e1_bs1000_power.csv,49152000,0.918034,0.104684,1.022718,12,True,983040.0,0.00098304,11.79648,False
A100,R12000,lsqml,2,1000,12000,64,64,64,0.914199,0.003991,0.0945,1.501066,0.0,2.514346,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/lsqml/e2_bs1000.log,2.23,38.94307692307692,31.5,67.05,85.09700000000001,13,/home/zhong.zheng/pty-chi/modeling_exp/A100/R12000/lsqml/e2_bs1000_power.csv,49152000,0.914199,0.098491,1.0126899999999999,12,False,983040.0,0.00098304,23.59296,True
